model,level,run_id,task,n,f1_macro,accuracy,f1_weighted,precision_w,recall_w,kappa,kappa_interp,parse_rate
deepseek,L2,8,code,113,0.7622,0.7699,0.7768,0.8548,0.7699,0.7589,Substantial,1.0
deepseek,L2,8,theme,113,0.8926,0.8761,0.8789,0.8915,0.8761,0.8439,Almost Perfect,1.0
deepseek,L2,9,code,113,0.7622,0.7699,0.7768,0.8548,0.7699,0.7589,Substantial,1.0
deepseek,L2,9,theme,113,0.8926,0.8761,0.8789,0.8915,0.8761,0.8439,Almost Perfect,1.0
deepseek,L2,10,code,113,0.7622,0.7699,0.7768,0.8548,0.7699,0.7589,Substantial,1.0
deepseek,L2,10,theme,113,0.8926,0.8761,0.8789,0.8915,0.8761,0.8439,Almost Perfect,1.0
deepseek,L3,1,code,113,0.7707,0.7788,0.7841,0.8559,0.7788,0.768,Substantial,1.0
deepseek,L3,1,theme,113,0.8945,0.885,0.8862,0.892,0.885,0.8554,Almost Perfect,1.0
deepseek,L3,2,code,113,0.7665,0.7699,0.7764,0.8514,0.7699,0.7587,Substantial,1.0
deepseek,L3,2,theme,113,0.8945,0.885,0.8862,0.892,0.885,0.8554,Almost Perfect,1.0
deepseek,L3,3,code,113,0.7665,0.7699,0.7764,0.8514,0.7699,0.7587,Substantial,1.0
deepseek,L3,3,theme,113,0.8945,0.885,0.8862,0.892,0.885,0.8554,Almost Perfect,1.0
deepseek,L3,4,code,113,0.7665,0.7699,0.7764,0.8514,0.7699,0.7587,Substantial,1.0
deepseek,L3,4,theme,113,0.8945,0.885,0.8862,0.892,0.885,0.8554,Almost Perfect,1.0
deepseek,L3,5,code,113,0.7665,0.7699,0.7764,0.8514,0.7699,0.7587,Substantial,1.0
deepseek,L3,5,theme,113,0.8945,0.885,0.8862,0.892,0.885,0.8554,Almost Perfect,1.0
deepseek,L3,6,code,113,0.7665,0.7699,0.7764,0.8514,0.7699,0.7587,Substantial,1.0
deepseek,L3,6,theme,113,0.8945,0.885,0.8862,0.892,0.885,0.8554,Almost Perfect,1.0
deepseek,L3,7,code,113,0.7758,0.7788,0.7821,0.8554,0.7788,0.7679,Substantial,1.0
deepseek,L3,7,theme,113,0.9002,0.8938,0.8951,0.9022,0.8938,0.8665,Almost Perfect,1.0
deepseek,L3,8,code,113,0.7665,0.7699,0.7764,0.8514,0.7699,0.7587,Substantial,1.0
deepseek,L3,8,theme,113,0.8945,0.885,0.8862,0.892,0.885,0.8554,Almost Perfect,1.0
deepseek,L3,9,code,113,0.7665,0.7699,0.7764,0.8514,0.7699,0.7587,Substantial,1.0
deepseek,L3,9,theme,113,0.8945,0.885,0.8862,0.892,0.885,0.8554,Almost Perfect,1.0
deepseek,L3,10,code,113,0.7665,0.7699,0.7764,0.8514,0.7699,0.7587,Substantial,1.0
deepseek,L3,10,theme,113,0.8945,0.885,0.8862,0.892,0.885,0.8554,Almost Perfect,1.0
deepseek,L4,1,code,113,0.7449,0.7434,0.7472,0.8224,0.7434,0.731,Substantial,1.0
deepseek,L4,1,theme,113,0.8682,0.8673,0.8686,0.8771,0.8673,0.8333,Almost Perfect,1.0
deepseek,L4,2,code,113,0.7449,0.7434,0.7472,0.8224,0.7434,0.731,Substantial,1.0
deepseek,L4,2,theme,113,0.8682,0.8673,0.8686,0.8771,0.8673,0.8333,Almost Perfect,1.0
deepseek,L4,3,code,113,0.7449,0.7434,0.7472,0.8224,0.7434,0.731,Substantial,1.0
deepseek,L4,3,theme,113,0.8682,0.8673,0.8686,0.8771,0.8673,0.8333,Almost Perfect,1.0
deepseek,L4,4,code,113,0.7449,0.7434,0.7472,0.8224,0.7434,0.731,Substantial,1.0
deepseek,L4,4,theme,113,0.8682,0.8673,0.8686,0.8771,0.8673,0.8333,Almost Perfect,1.0
deepseek,L4,5,code,113,0.7449,0.7434,0.7472,0.8224,0.7434,0.731,Substantial,1.0
deepseek,L4,5,theme,113,0.8682,0.8673,0.8686,0.8771,0.8673,0.8333,Almost Perfect,1.0
deepseek,L4,6,code,113,0.7449,0.7434,0.7472,0.8224,0.7434,0.731,Substantial,1.0
deepseek,L4,6,theme,113,0.8682,0.8673,0.8686,0.8771,0.8673,0.8333,Almost Perfect,1.0
deepseek,L4,7,code,113,0.7449,0.7434,0.7472,0.8224,0.7434,0.731,Substantial,1.0
deepseek,L4,7,theme,113,0.8682,0.8673,0.8686,0.8771,0.8673,0.8333,Almost Perfect,1.0
